Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,
p021,A01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,A12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,B12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p021,E01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,E12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p021,F12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0.5,,,N2,1,,,
p022,A01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
p022,A02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,ivermectin_50,0,,,N2,1,,,
