strain,condition,generation,replicate,allele_freq
ECA2687,DMSO,1,1,0.048656352
ECA2687,IVM,1,1,0.105294646
ECA2687,DMSO,3,1,NULL
ECA2687,IVM,3,1,0.998666159
ECA2687,DMSO,5,1,0.002067654
ECA2687,IVM,5,1,0.999717354
ECA2687,DMSO,7,1,0.000673968
ECA2687,IVM,7,1,0.999820553
ECA2687,DMSO,1,2,0.02417962
ECA2687,IVM,1,2,0.04515778
ECA2687,DMSO,3,2,0.062338538
ECA2687,IVM,3,2,0.999511002
ECA2687,DMSO,5,2,0.000561561
ECA2687,IVM,5,2,0.99987168
ECA2687,DMSO,7,2,0.000221615
ECA2687,IVM,7,2,1
ECA2687,DMSO,1,3,NULL
ECA2687,IVM,1,3,0.031815528
ECA2687,DMSO,3,3,0.00673882
ECA2687,IVM,3,3,0.073654391
ECA2687,DMSO,5,3,0.001757651
ECA2687,IVM,5,3,0.67881016
ECA2687,DMSO,7,3,0.000960692
ECA2687,IVM,7,3,0.982945531
ECA2687,DMSO,1,4,0.051307351
ECA2687,IVM,1,4,0.063122299
ECA2687,DMSO,3,4,0.003641374
ECA2687,IVM,3,4,0.987378084
ECA2687,DMSO,5,4,0.003847598
ECA2687,IVM,5,4,0.99973176
ECA2687,DMSO,7,4,0.000117275
ECA2687,IVM,7,4,1
ECA2687,DMSO,1,5,0.064490759
ECA2687,IVM,1,5,0.105573521
ECA2687,DMSO,3,5,0.008734735
ECA2687,IVM,3,5,0.99778424
ECA2687,DMSO,5,5,0.011439213
ECA2687,IVM,5,5,0.999685257
ECA2687,DMSO,7,5,0
ECA2687,IVM,7,5,1
ECA2687,DMSO,1,6,0.036479321
ECA2687,IVM,1,6,0.092098378
ECA2687,DMSO,3,6,0.010240533
ECA2687,IVM,3,6,0.988071777
ECA2687,DMSO,5,6,0.001672101
ECA2687,IVM,5,6,0.999937648
ECA2687,DMSO,7,6,0.000263435
ECA2687,IVM,7,6,1
ECA2687,DMSO,1,7,0.059531773
ECA2687,IVM,1,7,0.082450153
ECA2687,DMSO,3,7,0.00050813
ECA2687,IVM,3,7,0.993597132
ECA2687,DMSO,5,7,0.003777594
ECA2687,IVM,5,7,1
ECA2687,DMSO,7,7,0.002068338
ECA2687,IVM,7,7,1
ECA2687,DMSO,1,8,NULL
ECA2687,IVM,1,8,0.038291605
ECA2687,DMSO,3,8,0.014354926
ECA2687,IVM,3,8,0.98920586
ECA2687,DMSO,5,8,0.000669165
ECA2687,IVM,5,8,0.999830719
ECA2687,DMSO,7,8,7.37E-05
ECA2687,IVM,7,8,1
ECA2687,DMSO,1,9,0.117974295
ECA2687,IVM,1,9,0.098281016
ECA2687,DMSO,3,9,0.027174506
ECA2687,IVM,3,9,0.996517028
ECA2687,DMSO,5,9,0.000431081
ECA2687,IVM,5,9,0.999878471
ECA2687,DMSO,7,9,0.000878735
ECA2687,IVM,7,9,1
ECA2687,DMSO,1,10,NULL
ECA2687,IVM,1,10,0.018978102
ECA2687,DMSO,3,10,0.005156435
ECA2687,IVM,3,10,0.997209392
ECA2687,DMSO,5,10,0.002208796
ECA2687,IVM,5,10,1
ECA2687,DMSO,7,10,0.00046307
ECA2687,IVM,7,10,1
