strain,condition,generation,replicate,allele_freq
N2,DMSO,1,1,0.356234097
N2,IVM,1,1,0.438713999
N2,DMSO,3,1,0.436724566
N2,IVM,3,1,0.952546296
N2,DMSO,5,1,0.407789233
N2,IVM,5,1,0.825022665
N2,DMSO,7,1,0.449745084
N2,IVM,7,1,0.900860303
N2,DMSO,1,2,0.352555701
N2,IVM,1,2,0.385933273
N2,DMSO,3,2,0.46728972
N2,IVM,3,2,0.1323704
N2,DMSO,5,2,0.433777778
N2,IVM,5,2,0.078918919
N2,DMSO,7,2,0.496631376
N2,IVM,7,2,0.150126156
N2,DMSO,1,3,0.498316498
N2,IVM,1,3,0.430686406
N2,DMSO,3,3,0.42064951
N2,IVM,3,3,0.53589643
N2,DMSO,5,3,0.38580799
N2,IVM,5,3,0.702527544
N2,DMSO,7,3,0.330836454
N2,IVM,7,3,0.779253492
N2,DMSO,1,4,0.526842584
N2,IVM,1,4,0.280574198
N2,DMSO,3,4,0.360058309
N2,IVM,3,4,0.238095238
N2,DMSO,5,4,0.542496051
N2,IVM,5,4,0.233719008
N2,DMSO,7,4,0.61553589
N2,IVM,7,4,0.3130227
N2,DMSO,1,5,0.432572614
N2,IVM,1,5,0.713660519
N2,DMSO,3,5,0.483817427
N2,IVM,3,5,0.770797227
N2,DMSO,5,5,0.338235294
N2,IVM,5,5,0.846934461
N2,DMSO,7,5,0.387060159
N2,IVM,7,5,0.630363806
N2,DMSO,1,6,0.57718894
N2,IVM,1,6,0.616323417
N2,DMSO,3,6,0.720324509
N2,IVM,3,6,0.783355948
N2,DMSO,5,6,0.733916624
N2,IVM,5,6,0.839694656
N2,DMSO,7,6,0.752723059
N2,IVM,7,6,0.676056338
N2,DMSO,1,7,0.727272727
N2,IVM,1,7,0.565789474
N2,DMSO,3,7,0.810602025
N2,IVM,3,7,0.705583756
N2,DMSO,5,7,0.747368421
N2,IVM,5,7,0.769059791
N2,DMSO,7,7,0.651798307
N2,IVM,7,7,0.775954454
N2,DMSO,1,8,0.525799794
N2,IVM,1,8,0.459869848
N2,DMSO,3,8,0.504492754
N2,IVM,3,8,0.431174089
N2,DMSO,5,8,0.75297383
N2,IVM,5,8,0.284175642
N2,DMSO,7,8,0.660244648
N2,IVM,7,8,0.38392283
N2,DMSO,1,9,NULL
N2,IVM,1,9,0.440692275
N2,DMSO,3,9,0.54592685
N2,IVM,3,9,0.547970767
N2,DMSO,5,9,0.559397163
N2,IVM,5,9,0.730164044
N2,DMSO,7,9,0.679614988
N2,IVM,7,9,0.757611704
N2,DMSO,1,10,0.399202592
N2,IVM,1,10,0.461555705
N2,DMSO,3,10,0.238404855
N2,IVM,3,10,0.327113934
N2,DMSO,5,10,0.305894849
N2,IVM,5,10,0.347188852
N2,DMSO,7,10,0.206338939
N2,IVM,7,10,0.245634459
